SIGLA,DISCIPLINA,TPEI,CURSOS,,,,,,,,,,,,,,,,RECOMENDACOES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCZB003-17,ANALISE MULTIVARIADA,4-0-0-4,BM - BACHARELADO EM MATEMATICA (OL),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),BCE - BACHARELADO EM CIENCIAS ECONOMICAS (OL),,,,,,,,,,,,,,ALGEBRA LINEAR,INTRODUCAO A INFERENCIA ESTATISTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCTD024-18,ANALISE NA EDUCACAO BASICA,0-2-0-4,LM - LICENCIATURA EM MATEMATICA (OBR),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),,,,,,,,,,,,,,,FUNCOES DE UMA VARIAVEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCTB004-17,ANALISE NO RN I,4-0-0-4,BM - BACHARELADO EM MATEMATICA (OBR),,,,,,,,,,,,,,,,ALGEBRA LINEAR,ANALISE REAL I,CALCULO VETORIAL E TENSORIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCZB004-17,ANALISE NO RN II,4-0-0-4,BM - BACHARELADO EM MATEMATICA (OL),,,,,,,,,,,,,,,,ANALISE NO RN I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCZB005-17,ANALISE NUMERICA,4-0-0-4,BM - BACHARELADO EM MATEMATICA (OL),,,,,,,,,,,,,,,,FUNCOES DE UMA VARIAVEL,FUNCOES DE VARIAS VARIAVEIS,ALGEBRA LINEAR,CALCULO NUMERICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHT4001-15,ANALISE QUIMICA INSTRUMENTAL,2-4-0-6,BQ - BACHARELADO EM QUIMICA (OBR),LQ - LICENCIATURA EM QUIMICA (OL),,,,,,,,,,,,,,,QUIMICA ANALITICA CLASSICA I,QUIMICA ANALITICA CLASSICA II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCTB005-13,ANALISE REAL I,4-0-0-4,BM - BACHARELADO EM MATEMATICA (OBR),LM - LICENCIATURA EM MATEMATICA (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),BCE - BACHARELADO EM CIENCIAS ECONOMICAS (OL),,,,,,,,,,,,,SEQUENCIAS E SERIES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCTB006-13,ANALISE REAL II,4-0-0-4,BM - BACHARELADO EM MATEMATICA (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),,,,,,,,,,,,,,,ANALISE REAL I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZP045-13,ANALISE SOCIAL DA FAMILIA E IMPLEMENTACAO DE POLITICAS PUBLICAS,4-0-0-4,BPP - BACHARELADO EM POLITICAS PUBLICAS (L),LFIL - LICENCIATURA EM FILOSOFIA (OL),,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCTB007-17,ANEIS E CORPOS,4-0-0-4,BM - BACHARELADO EM MATEMATICA (OBR),LM - LICENCIATURA EM MATEMATICA (OL),BCC - BACHARELADO EM CIENCIAS DA COMPUTACAO (OL),,,,,,,,,,,,,,TEORIA ARITMETICA DOS NUMEROS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHZ0003-19,ANTIGUIDADE,4-0-0-4,LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),LFIL - LICENCIATURA EM FILOSOFIA (OL),,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ2001-11,ANTROPOLOGIA FILOSOFICA,4-0-0-4,BFIL - BACHARELADO EM FILOSOFIA (OL),LFIL - LICENCIATURA EM FILOSOFIA (OL),BRI - BACHARELADO EM RELACOES INTERNACIONAIS (OL),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZS012-17,APLICACOES DE ELEMENTOS FINITOS PARA ENGENHARIA,3-1-0-4,EAER - ENGENHARIA AEROESPACIAL (OL),,,,,,,,,,,,,,,,INTRODUCAO AS EQUACOES DIFERENCIAIS ORDINARIAS,CALCULO NUMERICO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZI025-17,APLICACOES DE MICROCONTROLADORES,0-4-0-4,EINF - ENGENHARIA DE INFORMACAO (OL),"EIAR - ENGENHARIA DE INSTRUMENTACAO, AUTOMACAO E ROBOTICA (OL)",,,,,,,,,,,,,,,SISTEMAS MICROPROCESSADOS,CIRCUITOS ELETRICOS I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZI037-17,"APLICACOES EM VOZ, AUDIO E ACUSTICA",3-1-0-4,EINF - ENGENHARIA DE INFORMACAO (OL),,,,,,,,,,,,,,,,CODIFICACAO DE SINAIS MULTIMIDIA,PROCESSAMENTO DIGITAL DE SINAIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCZA002-17,APRENDIZADO DE MAQUINA,4-0-0-4,BN - BACHARELADO EM NEUROCIENCIA (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),BCC - BACHARELADO EM CIENCIAS DA COMPUTACAO (OL),,,,,,,,,,,,,,INTELIGENCIA ARTIFICIAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZE102-17,APROVEITAMENTO ENERGETICO DE RESIDUOS,4-0-0-4,EENE - ENGENHARIA DE ENERGIA (OL),,,,,,,,,,,,,,,,ENGENHARIA DE BIOCOMBUSTIVEIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ2091-16,ARGUMENTACAO E ENSINO,4-0-0-4,LFIL - LICENCIATURA EM FILOSOFIA (OL),LFIS - LICENCIATURA EM FISICA (OL),LQ - LICENCIATURA EM QUIMICA (OL),LM - LICENCIATURA EM MATEMATICA (OL),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZE097-17,ARMAZENAMENTO DE ENERGIA ELETRICA,4-0-0-5,EENE - ENGENHARIA DE ENERGIA (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),,,,,,,,,,,,,,,BASES CONCEITUAIS DA ENERGIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCTA004-17,ARQUITETURA DE COMPUTADORES,4-0-0-4,EINF - ENGENHARIA DE INFORMACAO (OL),BCC - BACHARELADO EM CIENCIAS DA COMPUTACAO (OBR),,,,,,,,,,,,,,,CIRCUITOS DIGITAIS,SISTEMAS DIGITAIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCZA003-17,ARQUITETURA DE COMPUTADORES DE ALTO DESEMPENHO,4-0-0-4,BCC - BACHARELADO EM CIENCIAS DA COMPUTACAO (OL),,,,,,,,,,,,,,,,ARQUITETURA DE COMPUTADORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESHT001-17,ARRANJOS INSTITUCIONAIS E MARCO REGULATORIO DO TERRITORIO,2-0-0-2,BPP - BACHARELADO EM POLITICAS PUBLICAS (OL),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),BPT - BACHARELADO EM PLANEJAMENTO TERRITORIAL (OBR),,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ2092-16,ARTE E ENSINO,4-0-0-4,LM - LICENCIATURA EM MATEMATICA (OL),LFIL - LICENCIATURA EM FILOSOFIA (OL),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),LFIS - LICENCIATURA EM FISICA (OL),LQ - LICENCIATURA EM QUIMICA (OL),LCB - LICENCIATURA EM CIENCIAS BIOLOGICAS (OL),,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZP011-13,"ARTE, CIENCIA, TECNOLOGIA E POLITICA",4-0-0-4,BPP - BACHARELADO EM POLITICAS PUBLICAS (L),LM - LICENCIATURA EM MATEMATICA (OL),,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZR023-21,AS CATEGORIAS DE KARL MARX E A ANALISE DO CAPITALISMO CONTEMPORANEO,4-0-0-4,BRI - BACHARELADO EM RELACOES INTERNACIONAIS (OL),,,,,,,,,,,,,,,,ECONOMIA POLITICA INTERNACIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHZ0004-19,ASIA: CULTURA E PROCESSOS SOCIO-POLITICOS,4-0-0-4,LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ1074-15,ASTROBIOLOGIA,4-0-0-6,LFIS - LICENCIATURA EM FISICA (OL),BCB - BACHARELADO EM CIENCIAS BIOLOGICAS (OL),LQ - LICENCIATURA EM QUIMICA (OL),,,,,,,,,,,,,,EVOLUCAO E DIVERSIFICACAO DA VIDA NA TERRA,"BIOQUIMICA: ESTRUTURA, PROPRIEDADE E FUNCOES DE BIOMOLECULAS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCZC010-15,ATENCAO E ESTADOS DE CONSCIENCIA,4-0-0-4,LFIS - LICENCIATURA EM FISICA (OL),BN - BACHARELADO EM NEUROCIENCIA (OL),LM - LICENCIATURA EM MATEMATICA (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHS0004-17,ATIVIDADES DA TEORIA,2-2-0-4,BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,,,,,INTRODUCAO AS HUMANIDADES E AS CIENCIAS SOCIAIS,PRATICAS EM CIENCIAS E HUMANIDADES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZP035-14,ATORES E INSTITUICOES NO REGIME MILITAR: 1964-1985,4-0-0-4,BPP - BACHARELADO EM POLITICAS PUBLICAS (L),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESHR018-21,ATORES NAO ESTATAIS E AS RELACOES INTERNACIONAIS,4-0-0-4,BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),BRI - BACHARELADO EM RELACOES INTERNACIONAIS (OBR),BCE - BACHARELADO EM CIENCIAS ECONOMICAS (OL),,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZE010-17,AUTOMACAO DE SISTEMAS ELETRICOS DE POTENCIA,3-0-0-4,EENE - ENGENHARIA DE ENERGIA (OL),,,,,,,,,,,,,,,,INTRODUCAO AOS SISTEMAS ELETRICOS DE POTENCIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTA011-17,AUTOMACAO DE SISTEMAS INDUSTRIAIS,1-3-0-4,EGES - ENGENHARIA DE GESTAO (OL),"EIAR - ENGENHARIA DE INSTRUMENTACAO, AUTOMACAO E ROBOTICA (OBR)",,,,,,,,,,,,,,,SISTEMAS DE CONTROLE II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
