SIGLA,DISCIPLINA,TPEI,CURSOS,,,,,,,,,,,,,,,,RECOMENDACOES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESHR011-21,INTRODUCAO AO DIREITO E FUNDAMENTOS DO DIREITO INTERNACIONAL,4-0-0-4,BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),BRI - BACHARELADO EM RELACOES INTERNACIONAIS (OBR),,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHO0002-19,INTRODUCAO AO PENSAMENTO ECONOMICO,3-0-0-4,BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),LFIL - LICENCIATURA EM FILOSOFIA (OL),,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZI035-17,INTRODUCAO AO PROCESSAMENTO DE SINAIS DE VOZ E AUDIO,3-1-0-4,EINF - ENGENHARIA DE INFORMACAO (OL),,,,,,,,,,,,,,,,PROCESSAMENTO DIGITAL DE SINAIS,PROGRAMACAO ESTRUTURADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHZ0041-22,INTRODUCAO AOS LETRAMENTOS EM INGLES,2-2-0-2,LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTA023-17,INTRODUCAO AOS PROCESSOS DE FABRICACAO,3-1-0-4,"EIAR - ENGENHARIA DE INSTRUMENTACAO, AUTOMACAO E ROBOTICA (OBR)",,,,,,,,,,,,,,,,SISTEMAS CAD/CAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTG017-17,INTRODUCAO AOS PROCESSOS DE FABRICACAO METAL - MECANICO,4-2-0-4,EGES - ENGENHARIA DE GESTAO (OBR),,,,,,,,,,,,,,,,SISTEMAS CAD/CAE,SISTEMAS CAM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCZB019-13,INTRODUCAO AOS PROCESSOS PONTUAIS,4-0-0-4,BM - BACHARELADO EM MATEMATICA (OL),,,,,,,,,,,,,,,,INTRODUCAO A PROBABILIDADE E A ESTATISTICA,ANALISE REAL I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCZB020-13,INTRODUCAO AOS SISTEMAS DINAMICOS,4-0-0-4,BM - BACHARELADO EM MATEMATICA (OL),,,,,,,,,,,,,,,,EQUACOES DIFERENCIAIS ORDINARIAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTE016-17,INTRODUCAO AOS SISTEMAS ELETRICOS DE POTENCIA,4-0-0-5,EENE - ENGENHARIA DE ENERGIA (OBR),,,,,,,,,,,,,,,,CIRCUITOS ELETRICOS II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCZB021-13,INTRODUCAO AS CURVAS ALGEBRICAS,4-0-0-4,BM - BACHARELADO EM MATEMATICA (OL),,,,,,,,,,,,,,,,ANEIS E CORPOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTO005-17,INTRODUCAO AS ENGENHARIAS,2-0-0-4,EAER - ENGENHARIA AEROESPACIAL (OBR),EAU - ENGENHARIA AMBIENTAL E URBANA (OBR),EBIO - ENGENHARIA BIOMEDICA (OBR),EENE - ENGENHARIA DE ENERGIA (OBR),EGES - ENGENHARIA DE GESTAO (OBR),"EIAR - ENGENHARIA DE INSTRUMENTACAO, AUTOMACAO E ROBOTICA (OBR)",EINF - ENGENHARIA DE INFORMACAO (OBR),EMAT - ENGENHARIA DE MATERIAIS (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BCN0405-15,INTRODUCAO AS EQUACOES DIFERENCIAIS ORDINARIAS,4-0-0-4,BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OBR),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),BCE - BACHARELADO EM CIENCIAS ECONOMICAS (OL),LFIS - LICENCIATURA EM FISICA (OBR),LQ - LICENCIATURA EM QUIMICA (OL),LM - LICENCIATURA EM MATEMATICA (OBR),,,,,,,,,,FUNCOES DE VARIAS VARIAVEIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BHO0001-19,INTRODUCAO AS HUMANIDADES E AS CIENCIAS SOCIAIS,2-0-0-3,BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),LFIL - LICENCIATURA EM FILOSOFIA (OL),,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESHP014-13,INTRODUCAO AS POLITICAS PUBLICAS,4-0-0-4,BCE - BACHARELADO EM CIENCIAS ECONOMICAS (OL),BPP - BACHARELADO EM POLITICAS PUBLICAS (OBR),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),BPT - BACHARELADO EM PLANEJAMENTO TERRITORIAL (OL),BRI - BACHARELADO EM RELACOES INTERNACIONAIS (OL),,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZS014-17,INTRODUCAO AS VIBRACOES NAO LINEARES,4-0-0-4,EAER - ENGENHARIA AEROESPACIAL (OL),,,,,,,,,,,,,,,,VIBRACOES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZI034-17,JOGOS DIGITAIS: ASPECTOS TECNICOS E APLICACOES,1-3-0-4,EINF - ENGENHARIA DE INFORMACAO (OL),BCC - BACHARELADO EM CIENCIAS DA COMPUTACAO (OL),,,,,,,,,,,,,,,PROGRAMACAO BASEADA EM COMPONENTES PARA JOGOS OU PROGRAMACAO ORIENTADA A OBJETOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZB015-17,LABORATORIO DE BIOINFORMATICA,0-4-0-5,EBIO - ENGENHARIA BIOMEDICA (OL),BCB - BACHARELADO EM CIENCIAS BIOLOGICAS (OL),BBT - BACHARELADO EM BIOTECNOLOGIA (OL),,,,,,,,,,,,,,INTRODUCAO A BIOINFORMATICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ6005-18,LABORATORIO DE BIOPROCESSOS,2-2-0-4,BBT - BACHARELADO EM BIOTECNOLOGIA (OBR),,,,,,,,,,,,,,,,BIOLOGIA MOLECULAR E BIOTECNOLOGIA,BIOLOGIA CELULAR,GENETICA II,"BIOQUIMICA: ESTRUTURA, PROPRIEDADES E FUNCOES DEBIOMOLECULAS",FARMACOLOGIA,PROTEINAS RECOMBINANTES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTE027-17,LABORATORIO DE CALOR E FLUIDOS,0-2-0-2,EENE - ENGENHARIA DE ENERGIA (OBR),,,,,,,,,,,,,,,,MECANICA DOS FLUIDOS I,MECANICA DOS FLUIDOS II,TRANSFERENCIA DE CALOR I,TRANSFERENCIA DE CALOR II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCZA010-13,LABORATORIO DE ENGENHARIA DE SOFTWARE,0-4-0-4,BCC - BACHARELADO EM CIENCIAS DA COMPUTACAO (OL),,,,,,,,,,,,,,,,ENGENHARIA DE SOFTWARE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHT3027-15,LABORATORIO DE FISICA I,0-3-0-5,BFIS - BACHARELADO EM FISICA (OBR),LFIS - LICENCIATURA EM FISICA (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),LM - LICENCIATURA EM MATEMATICA (OL),,,,,,,,,,,,FENOMENOS MECANICOS,FENOMENOS TERMICOS,FISICA DO CONTINUO,FUNCOES DE VARIAS VARIAVEIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHT3028-15,LABORATORIO DE FISICA II,0-3-0-5,BFIS - BACHARELADO EM FISICA (OBR),LFIS - LICENCIATURA EM FISICA (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),LM - LICENCIATURA EM MATEMATICA (OL),,,,,,,,,,,,FENOMENOS ELETROMAGNETICOS,FISICA QUANTICA,FUNCOES DE VARIAS VARIAVEIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHT3065-15,LABORATORIO DE FISICA III,0-3-0-5,BFIS - BACHARELADO EM FISICA (OBR),LFIS - LICENCIATURA EM FISICA (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),LM - LICENCIATURA EM MATEMATICA (OL),,,,,,,,,,,,FENOMENOS ELETROMAGNETICOS,FISICA QUANTICA,FUNCOES DE VARIAS VARIAVEIS,INTERACOES ATOMICAS E MOLECULARES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ3080-15,LABORATORIO DE FISICA MEDICA,0-3-0-5,BFIS - BACHARELADO EM FISICA (OL),EBIO - ENGENHARIA BIOMEDICA (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),,,,,,,,,,,,,,FISICA MEDICA I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTS006-17,"LABORATORIO DE GUIAGEM, NAVEGACAO E CONTROLE",0-4-0-4,EAER - ENGENHARIA AEROESPACIAL (OBR),,,,,,,,,,,,,,,,DINAMICA E CONTROLE DE VEICULOS ESPACIAIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTA017-17,LABORATORIO DE MAQUINAS ELETRICAS,0-2-0-4,EENE - ENGENHARIA DE ENERGIA (OBR),"EIAR - ENGENHARIA DE INSTRUMENTACAO, AUTOMACAO E ROBOTICA (OBR)",,,,,,,,,,,,,,,MAQUINAS ELETRICAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTE026-17,LABORATORIO DE MAQUINAS TERMICAS E HIDRAULICAS,0-2-0-4,EENE - ENGENHARIA DE ENERGIA (OBR),,,,,,,,,,,,,,,,MECANICA DOS FLUIDOS II,TRANSFERENCIA DE CALOR II,TERMODINAMICA APLICADA I,TERMODINAMICA APLICADA II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHE0002-22,LABORATORIO DE PRATICAS INTEGRADORAS I (PCC),0-4-4-4,LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OBR),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OBR),LFIL - LICENCIATURA EM FILOSOFIA (OBR),,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
LHE0003-22,LABORATORIO DE PRATICAS INTEGRADORAS II (PCC),0-4-4-4,LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OBR),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OBR),LFIL - LICENCIATURA EM FILOSOFIA (OBR),,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ3031-15,LABORATORIO DE PROPRIEDADES FISICAS DE MATERIAIS,2-2-0-4,BFIS - BACHARELADO EM FISICA (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),,,,,,,,,,,,,,,MECANICA QUANTICA I,ESTADO SOLIDO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCZA011-17,LABORATORIO DE REDES,0-4-0-4,EINF - ENGENHARIA DE INFORMACAO (OL),BCC - BACHARELADO EM CIENCIAS DA COMPUTACAO (OL),,,,,,,,,,,,,,,REDES DE COMPUTADORES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCZA012-13,LABORATORIO DE SISTEMAS OPERACIONAIS,0-4-0-4,BCC - BACHARELADO EM CIENCIAS DA COMPUTACAO (OL),,,,,,,,,,,,,,,,SISTEMAS OPERACIONAIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ3081-15,LASERS E OPTICA MODERNA,3-1-0-4,BFIS - BACHARELADO EM FISICA (OL),LFIS - LICENCIATURA EM FISICA (OL),,,,,,,,,,,,,,,FISICA QUANTICA,OPTICA,FUNCOES DE VARIAS VARIAVEIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTB010-17,LEGISLACAO RELACIONADA A SAUDE,2-0-0-4,EBIO - ENGENHARIA BIOMEDICA (OBR),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,,,,PRINCIPIOS DE ETICA EM SERVICOS DE SAUDE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHI5015-22,LIBRAS,4-0-2-2,LFIL - LICENCIATURA EM FILOSOFIA (OBR),LCB - LICENCIATURA EM CIENCIAS BIOLOGICAS (OBR),LFIS - LICENCIATURA EM FISICA (OBR),LM - LICENCIATURA EM MATEMATICA (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OBR),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OBR),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),BFIS - BACHARELADO EM FISICA (OL),BCB - BACHARELADO EM CIENCIAS BIOLOGICAS (OL),LQ - LICENCIATURA EM QUIMICA (OBR),BCE - BACHARELADO EM CIENCIAS ECONOMICAS (OL),,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHT4023-15,LIGACOES QUIMICAS,4-0-0-6,BQ - BACHARELADO EM QUIMICA (OBR),LQ - LICENCIATURA EM QUIMICA (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),,,,,,,,,,,,,,ESTRUTURA DA MATERIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ2145-18,LINGUA LATINA I,4-0-0-4,BFIL - BACHARELADO EM FILOSOFIA (OL),LFIL - LICENCIATURA EM FILOSOFIA (OL),,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ2146-18,LINGUA LATINA II,4-0-0-4,BFIL - BACHARELADO EM FILOSOFIA (OL),LFIL - LICENCIATURA EM FILOSOFIA (OL),,,,,,,,,,,,,,,LINGUA LATINA I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCTA015-13,LINGUAGENS FORMAIS E AUTOMATA,3-1-0-4,BM - BACHARELADO EM MATEMATICA (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),BCC - BACHARELADO EM CIENCIAS DA COMPUTACAO (OBR),,,,,,,,,,,,,,PROGRAMACAO ESTRUTURADA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ3095-22,LITERATURA E ENSINO DE CIENCIAS,4-0-0-4,LFIS - LICENCIATURA EM FISICA (OL),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ1095-19,LIVRO DIDATICO NO ENSINO DE CONHECIMENTOS BIOLOGICOS,2-2-0-4,LCB - LICENCIATURA EM CIENCIAS BIOLOGICAS (OL),LM - LICENCIATURA EM MATEMATICA (OL),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHT4073-15,LIVROS DIDATICOS NO ENSINO DE QUIMICA,4-0-0-4,LQ - LICENCIATURA EM QUIMICA (OBR),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),LCB - LICENCIATURA EM CIENCIAS BIOLOGICAS (OL),LM - LICENCIATURA EM MATEMATICA (OL),,,,,,,,,,,,,PRATICAS DE ENSINO DE QUIMICA I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHI2049-13,LOGICA BASICA,4-0-0-4,LFIL - LICENCIATURA EM FILOSOFIA (OBR),LM - LICENCIATURA EM MATEMATICA (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),LCH - LICENCIATURA EM CIENCIAS E HUMANIDADES (OL),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),BFIL - BACHARELADO EM FILOSOFIA (OBR),BCE - BACHARELADO EM CIENCIAS ECONOMICAS (OL),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),,,,,,,,,BASES MATEMATICAS,BASES EPISTEMOLOGICAS DA CIENCIA MODERNA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NHZ2050-11,LOGICA E OS FUNDAMENTOS DA MATEMATICA,4-0-0-4,LM - LICENCIATURA EM MATEMATICA (OL),,,,,,,,,,,,,,,,LOGICA BASICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZG039-17,LOGICA EM SISTEMAS DE GESTAO,2-2-0-5,EGES - ENGENHARIA DE GESTAO (OL),,,,,,,,,,,,,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZA017-17,LOGICA PROGRAMAVEL,3-1-0-4,EINF - ENGENHARIA DE INFORMACAO (OL),"EIAR - ENGENHARIA DE INSTRUMENTACAO, AUTOMACAO E ROBOTICA (OL)",,,,,,,,,,,,,,,ELETRONICA DIGITAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCZA013-13,LOGICAS NAO CLASSICAS,4-0-0-4,BM - BACHARELADO EM MATEMATICA (OL),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),BCC - BACHARELADO EM CIENCIAS DA COMPUTACAO (OL),,,,,,,,,,,,,,LOGICA BASICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZU013-17,LOGISTICA E MEIO AMBIENTE,2-0-0-2,EAU - ENGENHARIA AMBIENTAL E URBANA (OL),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,,,,METODOS QUANTITATIVOS PARA PLANEJAMENTO ESTRATEGICO,METODOS DE TOMADA DE DECISAO APLICADOS AO PLANEJAMENTO URBANO-AMBIENTAL,ENGENHARIA LOGISTICA,TERRITORIO E LOGISTICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESHC022-17,MACROECONOMIA I,4-0-0-4,EGES - ENGENHARIA DE GESTAO (OL),BCE - BACHARELADO EM CIENCIAS ECONOMICAS (OBR),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),BRI - BACHARELADO EM RELACOES INTERNACIONAIS (OL),,,,,,,,,,,,,INTRODUCAO A ECONOMIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESHC032-17,MACROECONOMIA II,4-0-0-4,BCE - BACHARELADO EM CIENCIAS ECONOMICAS (OBR),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,,,,INTRODUCAO A ECONOMIA,MACROECONOMIA I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESHC024-19,MACROECONOMIA III,4-0-0-4,BCE - BACHARELADO EM CIENCIAS ECONOMICAS (OBR),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),,,,,,,,,,,,,,,INTRODUCAO A ECONOMIA,FUNCOES DE UMA VARIAVEL,FUNCOES DE VARIAS VARIAVEIS,ECONOMIA MATEMATICA,MACROECONOMIA I,MACROECONOMIA II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESHC031-17,MACROECONOMIA POS-KEYNESIANA,4-0-0-4,BCE - BACHARELADO EM CIENCIAS ECONOMICAS (OBR),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),BRI - BACHARELADO EM RELACOES INTERNACIONAIS (OL),,,,,,,,,,,,,,INTRODUCAO A ECONOMIA,PENSAMENTO ECONOMICO,MACROECONOMIA I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZS025-17,MAQUINAS DE FLUXO,4-0-0-4,EAER - ENGENHARIA AEROESPACIAL (OL),,,,,,,,,,,,,,,,MECANICA DOS FLUIDOS I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTA016-17,MAQUINAS ELETRICAS,4-0-0-4,EENE - ENGENHARIA DE ENERGIA (OBR),"EIAR - ENGENHARIA DE INSTRUMENTACAO, AUTOMACAO E ROBOTICA (OBR)",,,,,,,,,,,,,,,CIRCUITOS ELETRICOS II,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZE085-17,MAQUINAS TERMICAS DE FLUXO,4-0-0-4,EENE - ENGENHARIA DE ENERGIA (OL),,,,,,,,,,,,,,,,SISTEMAS TERMICOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCTB019-17,MATEMATICA DISCRETA,4-0-0-4,BM - BACHARELADO EM MATEMATICA (OBR),LM - LICENCIATURA EM MATEMATICA (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),BCC - BACHARELADO EM CIENCIAS DA COMPUTACAO (OBR),BC&H - BACHARELADO EM CIENCIAS E HUMANIDADES (OL),BCE - BACHARELADO EM CIENCIAS ECONOMICAS (OL),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),,,,,,,,,,FUNCOES DE UMA VARIAVEL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MCZD004-18,MATEMATICA NOS ANOS INICIAIS,2-2-0-4,LM - LICENCIATURA EM MATEMATICA (OL),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),,,,,,,,,,,,,,,DIDATICA,DESENVOLVIMENTO E APRENDIZAGEM,DIDATICA DA MATEMATICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTM017-17,MATERIAIS CERAMICOS,4-0-0-4,EMAT - ENGENHARIA DE MATERIAIS (OBR),,,,,,,,,,,,,,,,CIENCIA DOS MATERIAIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTM008-17,MATERIAIS COMPOSITOS,3-1-0-4,EMAT - ENGENHARIA DE MATERIAIS (OBR),,,,,,,,,,,,,,,,MATERIAIS POLIMERICOS,MATERIAIS CERAMICOS,MATERIAIS METALICOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTS009-17,MATERIAIS COMPOSITOS E APLICACOES ESTRUTURAIS,4-0-0-4,EAER - ENGENHARIA AEROESPACIAL (OBR),,,,,,,,,,,,,,,,MATERIAIS E SUAS PROPRIEDADES,MECANICA DOS SOLIDOS I,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTO006-17,MATERIAIS E SUAS PROPRIEDADES,3-1-0-5,EAER - ENGENHARIA AEROESPACIAL (OBR),EAU - ENGENHARIA AMBIENTAL E URBANA (OBR),EBIO - ENGENHARIA BIOMEDICA (OBR),EENE - ENGENHARIA DE ENERGIA (OBR),EGES - ENGENHARIA DE GESTAO (OBR),"EIAR - ENGENHARIA DE INSTRUMENTACAO, AUTOMACAO E ROBOTICA (OBR)",EINF - ENGENHARIA DE INFORMACAO (OBR),EMAT - ENGENHARIA DE MATERIAIS (OBR),BC&T - BACHARELADO EM CIENCIA E TECNOLOGIA (OL),LCNE - LICENCIATURA EM CIENCIAS NATURAIS E EXATAS (OL),LFIS - LICENCIATURA EM FISICA (OL),LM - LICENCIATURA EM MATEMATICA (OL),,,,, ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZE108-17,MATERIAIS E TECNOLOGIAS DE CONVERSAO FOTOVOLTAICA,2-0-0-2,EENE - ENGENHARIA DE ENERGIA (OL),,,,,,,,,,,,,,,,ENGENHARIA SOLAR FOTOVOLTAICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTM005-17,MATERIAIS METALICOS,4-0-0-4,EMAT - ENGENHARIA DE MATERIAIS (OBR),,,,,,,,,,,,,,,,CIENCIA DOS MATERIAIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZM030-17,MATERIAIS NANOESTRUTURADOS,4-0-0-4,EMAT - ENGENHARIA DE MATERIAIS (OL),,,,,,,,,,,,,,,,NANOCIENCIA E NANOTECNOLOGIA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZM027-17,MATERIAIS PARA ENERGIA E AMBIENTE,4-0-0-4,EMAT - ENGENHARIA DE MATERIAIS (OL),,,,,,,,,,,,,,,,"PROPRIEDADES ELETRICAS, MAGNETICAS E OPTICAS",PROPRIEDADES MECANICAS E TERMICAS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZM028-17,MATERIAIS PARA TECNOLOGIA DA INFORMACAO,4-0-0-4,EMAT - ENGENHARIA DE MATERIAIS (OL),,,,,,,,,,,,,,,,"PROPRIEDADES ELETRICAS, MAGNETICAS E OPTICAS",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESTM006-17,MATERIAIS POLIMERICOS,3-1-0-4,BQ - BACHARELADO EM QUIMICA (OL),EMAT - ENGENHARIA DE MATERIAIS (OBR),,,,,,,,,,,,,,,CIENCIA DOS MATERIAIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ESZM021-17,MATERIAS PRIMAS CERAMICAS,4-0-0-4,EMAT - ENGENHARIA DE MATERIAIS (OL),,,,,,,,,,,,,,,,MATERIAIS CERAMICOS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
